hex,count
82f3a7fffffffff,8.050477236422847
82f2a7fffffffff,0.0
82f1b7fffffffff,0.42397772227187397
82f1affffffffff,0.0
82f0affffffffff,0.0
82f09ffffffffff,0.2848064507948877
82f007fffffffff,0.0
82ef9ffffffffff,0.0
82ef4ffffffffff,0.0
82eeb7fffffffff,0.0
82ee87fffffffff,0.0
82ed4ffffffffff,7.964609693495342
82ed47fffffffff,0.14593019032616156
82ecaffffffffff,0.2858239835341882
82ec17fffffffff,0.0
82e89ffffffffff,0.0
82e897fffffffff,0.0
82e74ffffffffff,0.14459098678583104
82e747fffffffff,0.4284970420506138
82e707fffffffff,0.14008539568148504
82e577fffffffff,0.14400624437055834
82e55ffffffffff,0.0
82e467fffffffff,0.14400624437055892
82e12ffffffffff,0.14290859099489708
82e0b7fffffffff,0.0
82e097fffffffff,4.900054159045052
82df87fffffffff,0.28210189885565173
82df6ffffffffff,1408.444850877811
82df67fffffffff,1095.804955752533
82df5ffffffffff,20.566503712384254
82df4ffffffffff,2848.174104380868
82df47fffffffff,2322.562979185358
82df37fffffffff,1.8423574116137957
82df17fffffffff,1.297150729324525
82df07fffffffff,2.759111136253194
82de97fffffffff,2.875694898665247
82de87fffffffff,2.8453647406602984
82de77fffffffff,100.71329697389343
82de67fffffffff,25.470905828327066
82db87fffffffff,0.0
82dab7fffffffff,23804.337816525556
82daaffffffffff,2315.4924222061263
82da9ffffffffff,1961.5180901314814
82da97fffffffff,9886.171202028334
82da8ffffffffff,1893.8595262990946
82da87fffffffff,27829.668882491645
82da77fffffffff,1.1630674031942152
82da1ffffffffff,0.0
82da07fffffffff,0.14290233545020717
82d8b7fffffffff,10384.617040931136
82d897fffffffff,3537.471267658547
82d6affffffffff,0.5551748771146312
82d46ffffffffff,40.76872445214453
82d44ffffffffff,39.340434819761164
82d127fffffffff,0.0
82d117fffffffff,0.0
82cfb7fffffffff,993.8195381958949
82cfaffffffffff,1533.0676641454754
82cfa7fffffffff,4606.897922711209
82cf9ffffffffff,8181.822275776494
82cf97fffffffff,912.56840250554
82cf8ffffffffff,1390.980012775875
82cf87fffffffff,1006.340681755606
82cf37fffffffff,6.752570049502989
82cf1ffffffffff,42.47508812482825
82cf17fffffffff,4048.5313365544207
82ceb7fffffffff,203.63252465034392
82ceaffffffffff,18564.940340808284
82cea7fffffffff,614.2758708320516
82ce9ffffffffff,17240.922709040206
82ce97fffffffff,576.0059488887671
82ce8ffffffffff,35172.134571825634
82ce87fffffffff,702.6893905260089
82ce37fffffffff,200.47312938299052
82ce17fffffffff,2262.07070952314
82ccf7fffffffff,1.1598122095069028
82ccc7fffffffff,1.1426587788016451
82cc6ffffffffff,1.9934347502655632
82cb9ffffffffff,0.0
82ca87fffffffff,0.43607631392121693
82ca17fffffffff,0.0
82c9b7fffffffff,411.4466902138851
82c99ffffffffff,10731.67173332916
82c997fffffffff,1067.2309479692822
82c987fffffffff,2743.8791636753654
82c377fffffffff,2091.1199886954146
82c36ffffffffff,405.65395426151224
82c367fffffffff,21588.059447679305
82c35ffffffffff,7356.580405595954
82c357fffffffff,11253.22908333758
82c34ffffffffff,9414.869809772224
82c347fffffffff,1515.1168217649604
82c32ffffffffff,9897.973109118448
82c327fffffffff,73.3296780591703
82c30ffffffffff,4882.2633264943515
82c307fffffffff,9829.02960474906
82c2f7fffffffff,57757.30489914704
82c2effffffffff,352803.2826010988
82c2e7fffffffff,7896.906787856178
82c2dffffffffff,5535.679301144471
82c2d7fffffffff,4649.7101557222995
82c2cffffffffff,20478.50736053182
82c2c7fffffffff,50342.71947106341
82c28ffffffffff,6832.392181005755
82c22ffffffffff,7050.950150029968
82c227fffffffff,2526.9589352715343
82c21ffffffffff,25789.90516132196
82c207fffffffff,8441.661394421568
82c0e7fffffffff,0.0
82c01ffffffffff,9.004734878606328
82bf8ffffffffff,9.302259160872861
82bf6ffffffffff,16029.839508663854
82bf5ffffffffff,466.71366692153197
82bf4ffffffffff,8585.444482719384
82bef7fffffffff,95744.83069594274
82beeffffffffff,638.0101569840496
82bee7fffffffff,6405.240696329995
82bedffffffffff,518.3232636291573
82bed7fffffffff,15587.609453099576
82becffffffffff,161.30960932396937
82bec7fffffffff,896.2277559555823
82beaffffffffff,88737.01864400344
82be9ffffffffff,0.0
82be8ffffffffff,117264.57280343388
82be77fffffffff,16730.841505793444
82be6ffffffffff,129283.12341262642
82be67fffffffff,4741.981620878138
82be5ffffffffff,890.4463346009017
82be57fffffffff,8647.253935452345
82be4ffffffffff,3270.4444848871103
82be47fffffffff,11272.687307596318
82be2ffffffffff,8081.535155099628
82be1ffffffffff,102163.20081578933
82be0ffffffffff,209233.95915935334
82bcf7fffffffff,93052.07874662381
82bceffffffffff,87611.51510638975
82bce7fffffffff,244227.08920313203
82bcdffffffffff,163215.72203841136
82bcd7fffffffff,211954.94601925314
82bccffffffffff,355688.67678373575
82bcc7fffffffff,90718.96559305217
82bc9ffffffffff,42840.62841832386
82bc8ffffffffff,46941.42706750379
82bc77fffffffff,77663.53508144214
82bc6ffffffffff,164545.47357742992
82bc5ffffffffff,6847.121423098689
82bc57fffffffff,69891.193371352
82bc4ffffffffff,9838.183602568544
82bc47fffffffff,63271.02724508206
82bc1ffffffffff,181585.48726180897
82bc0ffffffffff,85894.22255204184
82bb77fffffffff,13548.762586999506
82bb5ffffffffff,6093.532016364319
82bb57fffffffff,49938.52812649228
82bb37fffffffff,40.01108320175964
82bb2ffffffffff,6545.615135814719
82bb0ffffffffff,6820.3853159052
82baf7fffffffff,0.14307101714274748
82ba6ffffffffff,49.72004310027379
82ba27fffffffff,2212.282983927111
82b9b7fffffffff,61.59486410304808
82b9affffffffff,1224.7616932392848
82b9a7fffffffff,455.75079034895106
82b99ffffffffff,12.29944610147623
82b997fffffffff,39.68559151581436
82b98ffffffffff,12.907160221792903
82b987fffffffff,24.01215835355303
82b95ffffffffff,8.17025489944027
82b94ffffffffff,604.9960501297952
82b937fffffffff,2647.9468550846336
82b91ffffffffff,787.5696085317802
82b917fffffffff,35304.09375389889
82b8f7fffffffff,69.34101878823701
