hex,count
84da809ffffffff,1543
84da807ffffffff,720
84da805ffffffff,1236
84da803ffffffff,17357
84da801ffffffff,2881
84da733ffffffff,56
84da189ffffffff,7
84da00dffffffff,9
84d8b67ffffffff,2
84d8b65ffffffff,23
84d8b2dffffffff,8
84d8b25ffffffff,5
84d896dffffffff,1566
84d8969ffffffff,34
84d8965ffffffff,4024
84d8961ffffffff,396
84d8945ffffffff,8
84d892dffffffff,391
84d8925ffffffff,1726
84d6ad7ffffffff,1
84d6a9dffffffff,13
84d6a99ffffffff,5
84d46b3ffffffff,55
84d44dbffffffff,339
84d44d9ffffffff,12
84d1219ffffffff,1
84d114dffffffff,1
84cfb37ffffffff,83
84cfb33ffffffff,154
84cfb1bffffffff,353
84cfb17ffffffff,97
84cfb13ffffffff,10606
84cfb11ffffffff,15
84cfaedffffffff,348
84cfaebffffffff,384
84cfae9ffffffff,330
84cfae7ffffffff,259
84cfae5ffffffff,138
84cfae3ffffffff,630
84cfae1ffffffff,1568
84cfadbffffffff,71
84cfad9ffffffff,27
84cfad7ffffffff,6
84cfad5ffffffff,15
84cfad3ffffffff,7
84cfad1ffffffff,1
84cfacdffffffff,35383
84cfacbffffffff,597
84cfac9ffffffff,1787
84cfac7ffffffff,683
84cfac5ffffffff,1038
84cfac3ffffffff,1621
84cfac1ffffffff,1009
84cfabdffffffff,824
84cfabbffffffff,38
84cfab9ffffffff,57
84cfab7ffffffff,179
84cfab5ffffffff,54
84cfab3ffffffff,453
84cfab1ffffffff,985
84cfaadffffffff,175
84cfaabffffffff,1061
84cfaa9ffffffff,294
84cfaa7ffffffff,93
84cfaa5ffffffff,152
84cfaa3ffffffff,199
84cfaa1ffffffff,346
84cfa9bffffffff,1
84cfa99ffffffff,67
84cfa97ffffffff,5
84cfa95ffffffff,27
84cfa8dffffffff,891
84cfa8bffffffff,140
84cfa89ffffffff,3934
84cfa87ffffffff,705
84cfa85ffffffff,1550
84cfa83ffffffff,11
84cfa81ffffffff,950
84cfa6bffffffff,10
84cfa5dffffffff,542
84cfa5bffffffff,333
84cfa59ffffffff,317
84cfa57ffffffff,2674
84cfa55ffffffff,790
84cfa53ffffffff,283
84cfa51ffffffff,328
84cfa4dffffffff,1386
84cfa4bffffffff,295
84cfa49ffffffff,494
84cfa47ffffffff,103810
84cfa45ffffffff,299
84cfa43ffffffff,984
84cfa41ffffffff,582
84cfa3dffffffff,205
84cfa3bffffffff,262
84cfa39ffffffff,747
84cfa37ffffffff,235
84cfa35ffffffff,428
84cfa33ffffffff,338
84cfa31ffffffff,278
84cfa2bffffffff,353
84cfa27ffffffff,376
84cfa25ffffffff,166
84cfa23ffffffff,8197
84cfa21ffffffff,4236
84cfa1dffffffff,1286
84cfa1bffffffff,220
84cfa19ffffffff,688
84cfa17ffffffff,409
84cfa15ffffffff,335
84cfa13ffffffff,464
84cfa11ffffffff,370
84cfa0dffffffff,402
84cfa0bffffffff,616
84cfa09ffffffff,921
84cfa07ffffffff,155
84cfa05ffffffff,263
84cfa03ffffffff,198
84cfa01ffffffff,769
84cf9ebffffffff,14804
84cf9e9ffffffff,12497
84cf9e7ffffffff,1096
84cf9e3ffffffff,3200
84cf9e1ffffffff,226276
84cf9ddffffffff,2428
84cf9dbffffffff,178
84cf9d9ffffffff,355
84cf9d7ffffffff,134
84cf9d5ffffffff,613
84cf9d3ffffffff,1851
84cf9d1ffffffff,152
84cf9cdffffffff,24432
84cf9cbffffffff,36818
84cf9c9ffffffff,1613
84cf9c7ffffffff,1975
84cf9c5ffffffff,334
84cf9c3ffffffff,743
84cf9c1ffffffff,547
84cf9bdffffffff,69
84cf9bbffffffff,67
84cf9b9ffffffff,118
84cf9b7ffffffff,608
84cf9b5ffffffff,71
84cf9b3ffffffff,76
84cf9b1ffffffff,66
84cf9adffffffff,411
84cf9abffffffff,149
84cf9a9ffffffff,356
84cf9a7ffffffff,33
84cf9a5ffffffff,69
84cf9a3ffffffff,41
84cf9a1ffffffff,198
84cf99dffffffff,140
84cf99bffffffff,156
84cf999ffffffff,415
84cf997ffffffff,65
84cf995ffffffff,332
84cf993ffffffff,172
84cf991ffffffff,113
84cf98dffffffff,6878
84cf98bffffffff,11296
84cf989ffffffff,1873
84cf987ffffffff,189
84cf985ffffffff,321
84cf983ffffffff,138
84cf981ffffffff,161
84cf95dffffffff,202
84cf95bffffffff,490
84cf959ffffffff,1376
84cf957ffffffff,232
84cf955ffffffff,523
84cf953ffffffff,245
84cf951ffffffff,325
84cf94bffffffff,4
84cf943ffffffff,15617
84cf91dffffffff,225
84cf91bffffffff,535
84cf919ffffffff,1692
84cf913ffffffff,77265
84cf911ffffffff,394
84cf90bffffffff,262
84cf909ffffffff,407
84cf901ffffffff,34
84cf8edffffffff,1201
84cf8ebffffffff,88
84cf8e9ffffffff,316
84cf8e7ffffffff,135
84cf8e5ffffffff,641
84cf8e3ffffffff,211
84cf8e1ffffffff,4762
84cf8ddffffffff,2968
84cf8dbffffffff,4
84cf8d9ffffffff,11
84cf8d7ffffffff,104
84cf8d5ffffffff,1936
84cf8d3ffffffff,4
84cf8d1ffffffff,45
84cf8cdffffffff,97
84cf8cbffffffff,270
84cf8c9ffffffff,926
84cf8c7ffffffff,188
84cf8c5ffffffff,104
84cf8c3ffffffff,126
84cf8c1ffffffff,521
84cf8bdffffffff,59093
84cf8bbffffffff,28188
84cf8b9ffffffff,3361
84cf8b7ffffffff,613
84cf8b5ffffffff,1523
84cf8b3ffffffff,2939
84cf8b1ffffffff,2610
84cf8adffffffff,128
84cf8abffffffff,466
84cf8a9ffffffff,366
84cf8a7ffffffff,248
84cf8a5ffffffff,188
84cf8a3ffffffff,467
84cf8a1ffffffff,445
84cf89dffffffff,14
84cf899ffffffff,39
84cf897ffffffff,49
84cf895ffffffff,26
84cf891ffffffff,15
84cf88dffffffff,9389
84cf88bffffffff,628
84cf889ffffffff,222
84cf887ffffffff,5868
84cf885ffffffff,368
84cf883ffffffff,198
84cf881ffffffff,1474
84cf86dffffffff,213
84cf86bffffffff,387
84cf869ffffffff,269
84cf867ffffffff,347
84cf865ffffffff,299
84cf863ffffffff,1311
84cf861ffffffff,319
84cf85dffffffff,186
84cf85bffffffff,172
84cf859ffffffff,107
84cf857ffffffff,97
84cf855ffffffff,310
84cf853ffffffff,193
84cf851ffffffff,4182
84cf84dffffffff,301
84cf84bffffffff,174
84cf849ffffffff,165
84cf847ffffffff,128
84cf845ffffffff,249
84cf843ffffffff,410
84cf841ffffffff,183
84cf83dffffffff,422
84cf83bffffffff,136
84cf839ffffffff,135
84cf837ffffffff,271
84cf835ffffffff,275
84cf833ffffffff,233
84cf831ffffffff,266
84cf82dffffffff,287
84cf82bffffffff,447
84cf829ffffffff,188
84cf827ffffffff,417
84cf825ffffffff,224
84cf823ffffffff,393
84cf821ffffffff,241
84cf81dffffffff,137
84cf81bffffffff,66
84cf819ffffffff,210
84cf817ffffffff,229
84cf815ffffffff,147
84cf813ffffffff,207
84cf811ffffffff,166
84cf80dffffffff,183
84cf80bffffffff,261
84cf809ffffffff,337
84cf807ffffffff,312
84cf805ffffffff,427
84cf803ffffffff,502
84cf801ffffffff,393
84cf337ffffffff,1
84cf32dffffffff,6
84cf327ffffffff,8
84cf325ffffffff,17
84cf323ffffffff,1
84cf321ffffffff,23
84cf1e5ffffffff,61
84cf1e1ffffffff,28
84cf1adffffffff,2
84cf1a5ffffffff,1
84cf1a3ffffffff,29
84cf16dffffffff,811
84cf16bffffffff,19
84cf169ffffffff,111
84cf167ffffffff,1394
84cf165ffffffff,617
84cf163ffffffff,945
84cf161ffffffff,146
